ASN,Organization
141201,Jabatan Digital Negara (JDN)
141294,M21 Data Center
141892,SENGKED.COM
141947,Loveika Host Nusantara
141968,Industri Kreatif Digital
141995,Contabo Asia
142002,Scloud Pte Ltd
142036,Hosteons Pte. Ltd.
142299,CLOUDFOREST CO.LTD.
142403,YISU CLOUD LTD
146943,TIER4CLOU-AS
147049,PacketHub AS147049
147186,VCCL Cloud Private Limited
147237,CLOUDMINISTER TECHNOLOGIES PRIVATE LIMITED
148981,China Telecom
148993,Diana Host Ltd
149042,SiliCloud
149089,CLOUDFLY CORPORATION
149118,3S Viet Nam Technology Joint Stock Company
149364,PT. AwanBit Data Indonesia
149391,NevaCloud
149485,MonoCloud
149573,SERVERWALA CLOUD DATACENTERS PRIVATE LIMITED
149600,NIXI-CSC Data center
149621,SB Secure Data centers India Private Limited
149641,XCLOUD TECHNOLOGY LIMITED
149651,Better Cloud Limited
149662,IDNIC-HOSTNETGLOBAL-AS-ID
149705,PT Wijaya Trimitra Indonesia
150024,Key Stones Cloud Tech Private Limited
150315,Virtury Cloud Pakistan
150393,LAYER WEBHOST (PVT.) LIMITED
150623,HOSTPAT-AS-IN
150828,VMON CLOUD COMPANY LIMITED
150862,VPSTTT COMPUTER COMPANY LIMITED
150896,HUNGCLOUD COMPANY LIMITED
151487,Awesomecloud Limited
151592,PT Awan Data Teknologi
151612,HOSTPERL
151704,Bharat Datacenter
151873,TOTHOST SOLUTIONS AND TECHNOLOGIES COMPANY LIMITED
151938,CLOUDY One Member LLC
152194,CTG Server Limited
152320,Goalnow Network Technology
152390,PT Intercloud Digital Inovasi
152705,Gcc Cloud Technology Limited
152933,ZONECLOUD TECHNOLOGY JOINT STOCK COMPANY
153416,Hoang Dieu Cloud Computing Company Limited
153531,DATAGEEKS CLOUD IP TECHNOLOGY PRIVATE LIMITED
196645,HOSTPRO LAB LLC
197071,active-servers.com
197226,Sprint Data Center
197352,Tinext SA
197414,XHOST INTERNET SOLUTIONS LP
197450,SUNUCUN
197477,Nerdscave Moritz Mantel
197537,WISDOM CLOUD
197540,netcup GmbH
197648,CLOUDLAYER8 LIMITED
197649,ServersGame
197715,Serverbike
197726,Ukrainian Internet Names Center
197795,ColdHosting
197902,Hostnet
197922,Techcrea Solutions
198089,IP Visie Networking
198093,DFRI
198167,Apptocloud.com
198432,Ipcore Datacenters S.L
198584,PIO-Hosting GmbH
198605,AVAST Software s.r.o.
198651,HOSTLINE
198831,Holycloud
198953,Proton66 OOO
198968,CYBERNETICOS
198983,Joseph Hofmann trading as 'Tornado Datacenter GmbH & Co. KG'
198985,Aquilenet
199205,Huemer Data Center GmbH
199218,Proton AG
199274,Serveroid LLC
199404,hosting.com BOM1
199414,NeoProtect
199415,YORKHOST
199524,G-Core Labs
199785,Cloud Hosting Solutions
199829,LostHost
199883,ArubaCloud Limited
200000,Hosting Ukraine
200019,AlexHost
200052,Feral Hosting
200088,ARTNET2
200136,Association LibraHost
200147,Hosting Techniques
200185,Aruba Cloud DE
200187,cloudKleyer Frankfurt
200195,Verasel Inc.
200223,Lars Jannick Volkers trading as Etheron Hosting
200239,Bogahost Bilisim ve Telekomunikasyon Hiz. San ve Tic. Ltd. Sti.
200350,Yandex Cloud
200373,3xK Tech
200435,Titan Datacenters France
200547,MTK S.R.L.
200636,Hypere
200651,FlokiNET
200698,Globalhost d.o.o.
200719,Miss Hosting AB
200740,FIRST SERVER LIMITED
200904,FOXCLOUD LLP
200960,Soluciones web on line
200979,Hosting eXperts Switzerland AG
201106,Spartan Host
201200,SuperHosting.BG Ltd.
201217,Radish Network
201409,HOSTSHIELD LTD
201446,Soluciones web on line AS201446
201449,Digital Absolut Business - Servidor Virtualizacao Cluster Datacenters e Telecomunicacoes Lda
201525,HZ-CA
201579,HOSTGNOME LTD
201670,Infotech-Grup SRL
201814,Mevspace
201949,Seed Technologies
201962,RSM Freilassing Michael Rack
201971,CreeperHost
201983,Ansluten Hosting i Sverige
201995,EFX Route Servers
201999,Fanavari Serverpars Argham Gostar Company Ltd.
202015,HZ-US
202053,UpCloud
202104,Server-plus LLC
202293,D-Cloud
202297,SkylonHost
202306,HOSTGLOBAL.PLUS
202422,GHOST !
202425,IP Volume
202448,MVPS
202635,Server Farm LLC
202656,XServer Europe
202661,NetPlans Cloud
202786,Bytesized Hosting B.V.
202913,CLOUDWIFI SL
202954,Rapiddot
202958,LLP 'Kompaniya Hoster.KZ'
202984,Team Host
203020,HostRoyale
203050,Park Naukowo-Technologiczny w Opolu Sp. z o.o.
203391,ClouDNS
203446,SMARTNET LIMITED
203476,Gandi Hosting and Services
203557,SIA RixHost
203758,EUGameHost
203808,OOO ExCloud
203999,
204104,GITI-AS
204108,S.U.E. DPR Republic Operator of Networks
204287,HostRoyale Technologies Pvt Ltd
204300,D2CLOUD NETWORK SERVICES (PTY) LTD
204415,NexGen Cloud Ltd
204641,HOSTGW SRL
204770,Cherry Servers US
204800,hosting.com SGP1
204818,HOSTEUR
204914,LABIXE
204932,George Sgouridis trading as Friktoria.com - Data Center Services.
204997,FIRST SERVER LIMITED
205016,HERN Labs
205081,EasyDataHost
205090,FIRST SERVER LIMITED
205100,F3 Netze
205399,Hostigger INC.
205544,LeaseWeb UK / LON-01
205676,Data Center Experts
205876,Hoasted
206092,Internet Utilities Europe and Asia Limited
206216,Advin Servers
206264,Amarutu Technology Ltd.
206275,FLAMINGHOST
206281,Vimexx
206286,ONEOF1SERVERS
206446,CLOUD LEASE
206522,ISP Datacenter SARL
206589,NSIX-Data-Center
206728,Media Land LLC
206804,EstNOC
206934,Beeks UK
207083,HostSlim
207137,PacketHub AS207137
207143,hosttech GmbH
207252,Realtox Media
207279,MARKAHOST-TELEKOMUNIKASYON-LIMITED-SIRKETI
207326,HostLAB
207333,LLP 'Kompaniya Hoster.KZ'
207560,Zubritska Valeriia Nikolaevna
207569,I-SERVERS LTD
207590,LocLix
207718,Ru-hoster
207728,EUROHOSTER Ltd.
207758,Hosteur SA
207957,SERV.HOST GROUP LTD
207990,HostRoyale Technologies Pvt Ltd
208152,CLNW
208208,CYBERSE
208258,Access2.IT Group B.V. (Hostio)
208287,DC Host
208323,Foundation for Applied Privacy
208450,MEGAHOST_KZ
208677,'Cloud Technologies' LLC trading as Cloud.ru
208795,'Cloud Services Kazakhstan' LLP
208800,G42 Cloud Technology
208843,Alpha Strike Labs GmbH
209045,Genesis Cloud
209103,Proton
209132,Alviva Holding Limited
209242,Cloudflare London
209243,QuickHostUK
209341,hosting.com FRA1
209605,UAB Host Baltic
209693,OC NETWORKS LIMITED
209723,EXPERT NETCLOUD LLP
209805,SBCLOUD LLC
210110,Kvmcloud Network CO. LIMITED
210250,WPX
210329,Kamatera INC UK
210388,Hayal Host Internet Ve Bilisim Teknolojileri Sanayi Ticaret Limited Sirketi
210488,Hyocloud Limited
210538,
210558,1337 Services GmbH
210574,Poyraz Hosting
210579,Rackhost Informatikai
210630,Internet Speech & Privacy LLC
210644,Aéza
210656,Yandex.Cloud LLC
210767,Link Host Ltd.
210848,Telkom Internet LTD
211138,PRIVATEHOSTING-NET
211298,Driftnet Ltd
211301,Unesty
211360,HatHost
211607,Securitytrails LLC
211748,ServerFIX B.V.
211804,Ozan Yildiz trading as Sistemdc webhosting and server services
211826,ISTQSERVERS
211857,NSHOST SRL
211895,Serverius Holding B.V.
212027,PebbleHost
212174,Jola Cloud Solutions Ltd
212219,Hosting Dunyam
212238,Datacamp Limited
212271,C1V hosting
212317,Hetzner Online Cloud 3
212396,FyfeWeb Hosting
212441,Cloud assets LLC
212477,RoyaleHosting
212508,Lowhosting Services
212531,Interneto vizija
212653,HOSTERFY
212853,MB Redfox Cloud
213035,Serverion
213122,Hyonix (Legacy)
213183,hosting.com LUX1
213200,Ferdinand Zink trading as Tube-Hosting
213220,Delta Ltd
213230,Hetzner Online Cloud 2
213282,ADAHOST
213291,NebiusCloud
213314,WallCloud GmbH
213354,INTERNATIONAL HOSTING SOLUTIONS LLP
213394,Clever Cloud SAS
213633,Hosting Minecraft
213683,Host.AL
213693,IDPerformance idhosting
213780,Individual Entrepreneur Suvorov Maxim Sergeevich
213807,TehranServer
213877,u1host-as
213896,Cherry Servers DE
213941,NVHCloud
214036,Ultahost Inc.
214043,Cloudfira
214062,ITITAN HOSTING SOLUTIONS SRL
214079,LENDNODES
214138,Host Zentrum
214159,Cherry Servers SE
214169,Cloudfire s.r.l.
214209,Internet Magnate (Pty) Ltd
214238,HOST TELECOM LTD
214295,SKYNET NETWORK LTD
214340,24racks Cloud
214382,Hostlayici Internet ve Bilisim Hizmetleri
214417,
214438,NexGen Cloud Ltd
214503,R0cket Cloud
214574,
214577,
214640,Hostup AB
214668,AXUSHOST
214677,DeluxHost
214717,
214738,WEHOST LLC
214762,MATHOST
214808,DUCKY CLOUD TECHNOLOGIES LIMITED
214834,Rekade Networks
214918,ESAGAMES HOSTING SHIELD S.R.L.
214927,PSB HOSTING LTD
214940,KPROHOST LLC
214943,Railnet LLC
